scenario,iter,profit,produced,good,shortfall,th_per_hr,epp,cpp,oeeM3,J
S3_profit_targetPenalty,0,1319.4091,19,19,51,2.850000,2.229671,0.668901,0.475000,44.409061
S3_profit_targetPenalty,1,1806.1499,26,26,44,3.900000,2.130783,0.639235,0.650000,706.149911
S3_profit_targetPenalty,2,1665.0618,24,24,46,3.600000,2.489695,0.746908,0.600000,515.061833
S3_profit_targetPenalty,3,1179.7078,17,17,53,2.550000,2.421704,0.726511,0.425000,-145.292240
S3_profit_targetPenalty,4,1387.9055,20,20,50,3.000000,2.418894,0.725668,0.500000,137.905532
S3_profit_targetPenalty,5,1180.2586,17,17,53,2.550000,2.292093,0.687628,0.425000,-144.741397
S3_profit_targetPenalty,6,1736.4018,25,25,45,3.750000,2.175710,0.652713,0.625000,611.401814
S3_profit_targetPenalty,7,1319.7995,19,19,51,2.850000,2.147479,0.644244,0.475000,44.799473
S3_profit_targetPenalty,8,1806.1037,26,26,44,3.900000,2.137886,0.641366,0.650000,706.103739
S3_profit_targetPenalty,9,1596.4600,23,23,47,3.450000,2.354783,0.706435,0.575000,421.459999
S3_profit_targetPenalty,10,1874.6705,27,27,43,4.050000,2.271041,0.681312,0.675000,799.670475
S3_profit_targetPenalty,11,1249.5211,18,18,52,2.700000,2.328650,0.698595,0.450000,-50.478924
S3_profit_targetPenalty,12,1804.5454,26,26,44,3.900000,2.377638,0.713292,0.650000,704.545350
S3_profit_targetPenalty,13,1874.3337,27,27,43,4.050000,2.320939,0.696282,0.675000,799.333665
S3_profit_targetPenalty,14,1456.2990,21,21,49,3.150000,2.609715,0.782914,0.525000,231.298998
S3_profit_targetPenalty,15,1735.5306,25,25,45,3.750000,2.315097,0.694529,0.625000,610.530645
S3_profit_targetPenalty,16,2014.7711,29,29,41,4.350000,2.100541,0.630162,0.725000,989.771081
S3_profit_targetPenalty,17,1457.8150,21,21,49,3.150000,2.320948,0.696284,0.525000,232.815023
S3_profit_targetPenalty,18,1802.9905,26,26,44,3.900000,2.616841,0.785052,0.650000,702.990536
S3_profit_targetPenalty,19,1944.2517,28,28,42,4.200000,2.249750,0.674925,0.700000,894.251747
S3_profit_targetPenalty,20,764.1325,11,11,59,1.650000,2.133645,0.640094,0.275000,-710.867524
S3_profit_targetPenalty,21,1945.2830,28,28,42,4.200000,2.102430,0.630729,0.700000,895.282989
S3_profit_targetPenalty,22,2013.6809,29,29,41,4.350000,2.250914,0.675274,0.725000,988.680876
S3_profit_targetPenalty,23,1875.6612,27,27,43,4.050000,2.124263,0.637279,0.675000,800.661223
S3_profit_targetPenalty,24,1735.9251,25,25,45,3.750000,2.251984,0.675595,0.625000,610.925101
S3_profit_targetPenalty,25,1806.4911,26,26,44,3.900000,2.078294,0.623488,0.650000,706.491091
S3_profit_targetPenalty,26,1319.5873,19,19,51,2.850000,2.192147,0.657644,0.475000,44.587300
S3_profit_targetPenalty,27,2014.3894,29,29,41,4.350000,2.153180,0.645954,0.725000,989.389442
S3_profit_targetPenalty,28,1875.5969,27,27,43,4.050000,2.133789,0.640137,0.675000,800.596925
S3_profit_targetPenalty,29,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,30,1874.9455,27,27,43,4.050000,2.230299,0.669090,0.675000,799.945483
S3_profit_targetPenalty,31,1735.7789,25,25,45,3.750000,2.275383,0.682615,0.625000,610.778859
S3_profit_targetPenalty,32,1318.9797,19,19,51,2.850000,2.320063,0.696019,0.475000,43.979701
S3_profit_targetPenalty,33,2013.6809,29,29,41,4.350000,2.250914,0.675274,0.725000,988.680876
S3_profit_targetPenalty,34,1320.2772,19,19,51,2.850000,2.046904,0.614071,0.475000,45.277207
S3_profit_targetPenalty,35,1318.9348,19,19,51,2.850000,2.329520,0.698856,0.475000,43.934781
S3_profit_targetPenalty,36,1667.3722,24,24,46,3.600000,2.104632,0.631390,0.600000,517.372208
S3_profit_targetPenalty,37,1596.1351,23,23,47,3.450000,2.411284,0.723385,0.575000,421.135119
S3_profit_targetPenalty,38,1945.2830,28,28,42,4.200000,2.102430,0.630729,0.700000,895.282989
S3_profit_targetPenalty,39,1736.1648,25,25,45,3.750000,2.213635,0.664090,0.625000,611.164783
S3_profit_targetPenalty,40,1806.4707,26,26,44,3.900000,2.081427,0.624428,0.650000,706.470726
S3_profit_targetPenalty,41,1805.3855,26,26,44,3.900000,2.248385,0.674516,0.650000,705.385495
S3_profit_targetPenalty,42,1041.4024,15,15,55,2.250000,2.292703,0.687811,0.375000,-333.597637
S3_profit_targetPenalty,43,1596.6788,23,23,47,3.450000,2.316739,0.695022,0.575000,421.678750
S3_profit_targetPenalty,44,1527.6063,22,22,48,3.300000,2.253402,0.676021,0.550000,327.606290
S3_profit_targetPenalty,45,1873.9808,27,27,43,4.050000,2.373214,0.711964,0.675000,798.980805
S3_profit_targetPenalty,46,1388.0382,20,20,50,3.000000,2.392368,0.717711,0.500000,138.038158
S3_profit_targetPenalty,47,2014.4388,29,29,41,4.350000,2.146374,0.643912,0.725000,989.438787
S3_profit_targetPenalty,48,1875.0173,27,27,43,4.050000,2.219660,0.665898,0.675000,800.017294
S3_profit_targetPenalty,49,1527.8201,22,22,48,3.300000,2.214525,0.664357,0.550000,327.820115
S3_profit_targetPenalty,50,1735.9335,25,25,45,3.750000,2.250638,0.675191,0.625000,610.933512
S3_profit_targetPenalty,51,1875.2849,27,27,43,4.050000,2.180011,0.654003,0.675000,800.284924
S3_profit_targetPenalty,52,1388.2482,20,20,50,3.000000,2.350360,0.705108,0.500000,138.248201
S3_profit_targetPenalty,53,902.4671,13,13,57,1.950000,2.317814,0.695344,0.325000,-522.532895
S3_profit_targetPenalty,54,2014.5881,29,29,41,4.350000,2.125777,0.637733,0.725000,989.588114
S3_profit_targetPenalty,55,1944.0296,28,28,42,4.200000,2.281490,0.684447,0.700000,894.029570
S3_profit_targetPenalty,56,1666.4360,24,24,46,3.600000,2.260665,0.678200,0.600000,516.436010
S3_profit_targetPenalty,57,1873.7647,27,27,43,4.050000,2.405230,0.721569,0.675000,798.764696
S3_profit_targetPenalty,58,1527.9143,22,22,48,3.300000,2.197397,0.659219,0.550000,327.914316
S3_profit_targetPenalty,59,2152.1314,31,31,39,4.650000,2.305624,0.691687,0.775000,1177.131413
S3_profit_targetPenalty,60,2014.4693,29,29,41,4.350000,2.142168,0.642651,0.725000,989.469279
S3_profit_targetPenalty,61,1944.7194,28,28,42,4.200000,2.182948,0.654884,0.700000,894.719362
S3_profit_targetPenalty,62,1875.4952,27,27,43,4.050000,2.148853,0.644656,0.675000,800.495242
S3_profit_targetPenalty,63,1805.3659,26,26,44,3.900000,2.251405,0.675421,0.650000,705.365870
S3_profit_targetPenalty,64,1666.3764,24,24,46,3.600000,2.270592,0.681178,0.600000,516.376449
S3_profit_targetPenalty,65,2013.8525,29,29,41,4.350000,2.227235,0.668170,0.725000,988.852548
S3_profit_targetPenalty,66,1527.1067,22,22,48,3.300000,2.344228,0.703268,0.550000,327.106745
S3_profit_targetPenalty,67,1526.4733,22,22,48,3.300000,2.459409,0.737823,0.550000,326.473251
S3_profit_targetPenalty,68,1805.9589,26,26,44,3.900000,2.160162,0.648049,0.650000,705.958945
S3_profit_targetPenalty,69,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,70,1318.7385,19,19,51,2.850000,2.370848,0.711254,0.475000,43.738474
S3_profit_targetPenalty,71,1944.9574,28,28,42,4.200000,2.148939,0.644682,0.700000,894.957430
S3_profit_targetPenalty,72,1804.7152,26,26,44,3.900000,2.351515,0.705454,0.650000,704.715154
S3_profit_targetPenalty,73,1526.8610,22,22,48,3.300000,2.388908,0.716672,0.550000,326.861005
S3_profit_targetPenalty,74,1597.9506,23,23,47,3.450000,2.095545,0.628664,0.575000,422.950613
S3_profit_targetPenalty,75,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,76,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,77,833.6055,12,12,58,1.800000,2.131501,0.639450,0.300000,-616.394503
S3_profit_targetPenalty,78,1735.5396,25,25,45,3.750000,2.313661,0.694098,0.625000,610.539616
S3_profit_targetPenalty,79,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,80,2014.7711,29,29,41,4.350000,2.100541,0.630162,0.725000,989.771081
S3_profit_targetPenalty,81,1665.6769,24,24,46,3.600000,2.387178,0.716153,0.600000,515.676934
S3_profit_targetPenalty,82,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,83,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,84,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,85,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,86,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,87,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,88,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,89,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,90,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,91,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,92,1459.5063,21,21,49,3.150000,1.998800,0.599640,0.525000,234.506297
S3_profit_targetPenalty,93,2013.0996,29,29,41,4.350000,2.331083,0.699325,0.725000,988.099649
S3_profit_targetPenalty,94,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,95,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,96,2154.2990,31,31,39,4.650000,2.025936,0.607781,0.775000,1179.298996
S3_profit_targetPenalty,97,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,98,1806.4488,26,26,44,3.900000,2.084807,0.625442,0.650000,706.448753
S3_profit_targetPenalty,99,1736.7098,25,25,45,3.750000,2.126436,0.637931,0.625000,611.709776
S3_profit_targetPenalty,100,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,101,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,102,1736.0806,25,25,45,3.750000,2.227097,0.668129,0.625000,611.080641
S3_profit_targetPenalty,103,1179.3339,17,17,53,2.550000,2.509671,0.752901,0.425000,-145.666103
S3_profit_targetPenalty,104,2084.4779,30,30,40,4.500000,2.069611,0.620883,0.750000,1084.477915
S3_profit_targetPenalty,105,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,106,763.4303,11,11,59,1.650000,2.388997,0.716699,0.275000,-711.569743
S3_profit_targetPenalty,107,1873.9912,27,27,43,4.050000,2.371669,0.711501,0.675000,798.991234
S3_profit_targetPenalty,108,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,109,2154.2990,31,31,39,4.650000,2.025936,0.607781,0.775000,1179.298996
S3_profit_targetPenalty,110,1596.6097,23,23,47,3.450000,2.328747,0.698624,0.575000,421.609704
S3_profit_targetPenalty,111,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,112,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,113,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,114,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,115,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,116,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,117,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,118,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,119,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,120,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,121,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,122,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,123,1666.5501,24,24,46,3.600000,2.241653,0.672496,0.600000,516.550085
S3_profit_targetPenalty,124,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,125,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,126,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,127,2154.2990,31,31,39,4.650000,2.025936,0.607781,0.775000,1179.298996
S3_profit_targetPenalty,128,1735.7233,25,25,45,3.750000,2.284273,0.685282,0.625000,610.723293
S3_profit_targetPenalty,129,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,130,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,131,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,132,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,133,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,134,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,135,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,136,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,137,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,138,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,139,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,140,1666.1755,24,24,46,3.600000,2.304076,0.691223,0.600000,516.175543
S3_profit_targetPenalty,141,1388.4825,20,20,50,3.000000,2.303500,0.691050,0.500000,138.482501
