scenario,iter,profit,produced,good,shortfall,th_per_hr,epp,cpp,oeeM3,J
S3_profit_targetPenalty,142,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,143,1735.7449,25,25,45,3.750000,2.280809,0.684243,0.625000,610.744944
S3_profit_targetPenalty,144,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,145,2084.7599,30,30,40,4.500000,2.032012,0.609604,0.750000,1084.759908
S3_profit_targetPenalty,146,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,147,1666.8935,24,24,46,3.600000,2.184420,0.655326,0.600000,516.893479
S3_profit_targetPenalty,148,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,149,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,150,1667.5026,24,24,46,3.600000,2.082903,0.624871,0.600000,517.502582
S3_profit_targetPenalty,151,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,152,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,153,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,154,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,155,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,156,1596.9826,23,23,47,3.450000,2.263901,0.679170,0.575000,421.982571
S3_profit_targetPenalty,157,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,158,1667.5026,24,24,46,3.600000,2.082903,0.624871,0.600000,517.502582
S3_profit_targetPenalty,159,1874.9226,27,27,43,4.050000,2.233690,0.670107,0.675000,799.922595
S3_profit_targetPenalty,160,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,161,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,162,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,163,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,164,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,165,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,166,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,167,1874.6698,27,27,43,4.050000,2.271138,0.681341,0.675000,799.669818
S3_profit_targetPenalty,168,1528.2419,22,22,48,3.300000,2.137828,0.641348,0.550000,328.241946
S3_profit_targetPenalty,169,1528.2419,22,22,48,3.300000,2.137828,0.641348,0.550000,328.241946
S3_profit_targetPenalty,170,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,171,1597.6311,23,23,47,3.450000,2.151120,0.645336,0.575000,422.631060
S3_profit_targetPenalty,172,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,173,1874.6698,27,27,43,4.050000,2.271138,0.681341,0.675000,799.669818
S3_profit_targetPenalty,174,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,175,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,176,1667.5026,24,24,46,3.600000,2.082903,0.624871,0.600000,517.502582
S3_profit_targetPenalty,177,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,178,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,179,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,180,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,181,1736.3972,25,25,45,3.750000,2.176450,0.652935,0.625000,611.397188
S3_profit_targetPenalty,182,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,183,1596.7441,23,23,47,3.450000,2.305376,0.691613,0.575000,421.744086
S3_profit_targetPenalty,184,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,185,1874.9226,27,27,43,4.050000,2.233690,0.670107,0.675000,799.922595
S3_profit_targetPenalty,186,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,187,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,188,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,189,1596.9875,23,23,47,3.450000,2.263043,0.678913,0.575000,421.987505
S3_profit_targetPenalty,190,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,191,1875.3498,27,27,43,4.050000,2.170401,0.651120,0.675000,800.349795
S3_profit_targetPenalty,192,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,193,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,194,1874.8846,27,27,43,4.050000,2.239317,0.671795,0.675000,799.884612
S3_profit_targetPenalty,195,1527.0077,22,22,48,3.300000,2.362232,0.708670,0.550000,327.007724
S3_profit_targetPenalty,196,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,197,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,198,1735.7405,25,25,45,3.750000,2.281524,0.684457,0.625000,610.740475
S3_profit_targetPenalty,199,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,200,1666.4676,24,24,46,3.600000,2.255407,0.676622,0.600000,516.467559
S3_profit_targetPenalty,201,1736.3972,25,25,45,3.750000,2.176450,0.652935,0.625000,611.397188
S3_profit_targetPenalty,202,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,203,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,204,1874.9624,27,27,43,4.050000,2.227796,0.668339,0.675000,799.962378
S3_profit_targetPenalty,205,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,206,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,207,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,208,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,209,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,210,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,211,1666.9387,24,24,46,3.600000,2.176877,0.653063,0.600000,516.938738
S3_profit_targetPenalty,212,1874.9624,27,27,43,4.050000,2.227796,0.668339,0.675000,799.962378
S3_profit_targetPenalty,213,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,214,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,215,1597.6318,23,23,47,3.450000,2.150995,0.645299,0.575000,422.631777
S3_profit_targetPenalty,216,1667.3134,24,24,46,3.600000,2.114433,0.634330,0.600000,517.313400
S3_profit_targetPenalty,217,1736.3972,25,25,45,3.750000,2.176450,0.652935,0.625000,611.397188
S3_profit_targetPenalty,218,1527.0077,22,22,48,3.300000,2.362232,0.708670,0.550000,327.007724
S3_profit_targetPenalty,219,1666.9387,24,24,46,3.600000,2.176877,0.653063,0.600000,516.938738
S3_profit_targetPenalty,220,2154.3007,31,31,39,4.650000,2.025711,0.607713,0.775000,1179.300744
S3_profit_targetPenalty,221,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,222,1667.5494,24,24,46,3.600000,2.075095,0.622528,0.600000,517.549431
S3_profit_targetPenalty,223,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,224,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,225,1666.6634,24,24,46,3.600000,2.222760,0.666828,0.600000,516.663440
S3_profit_targetPenalty,226,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,227,1527.0077,22,22,48,3.300000,2.362232,0.708670,0.550000,327.007724
S3_profit_targetPenalty,228,1666.9081,24,24,46,3.600000,2.181991,0.654597,0.600000,516.908053
S3_profit_targetPenalty,229,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,230,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,231,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,232,1667.5494,24,24,46,3.600000,2.075095,0.622528,0.600000,517.549431
S3_profit_targetPenalty,233,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,234,1667.0138,24,24,46,3.600000,2.164362,0.649309,0.600000,517.013830
S3_profit_targetPenalty,235,1527.0077,22,22,48,3.300000,2.362232,0.708670,0.550000,327.007724
S3_profit_targetPenalty,236,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,237,1874.8846,27,27,43,4.050000,2.239317,0.671795,0.675000,799.884612
S3_profit_targetPenalty,238,1666.4676,24,24,46,3.600000,2.255407,0.676622,0.600000,516.467559
S3_profit_targetPenalty,239,1666.4676,24,24,46,3.600000,2.255407,0.676622,0.600000,516.467559
S3_profit_targetPenalty,240,1666.4676,24,24,46,3.600000,2.255407,0.676622,0.600000,516.467559
S3_profit_targetPenalty,241,1735.7405,25,25,45,3.750000,2.281524,0.684457,0.625000,610.740475
S3_profit_targetPenalty,242,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,243,1875.1036,27,27,43,4.050000,2.206876,0.662063,0.675000,800.103586
S3_profit_targetPenalty,244,1458.0698,21,21,49,3.150000,2.272425,0.681727,0.525000,233.069770
S3_profit_targetPenalty,245,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,246,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,247,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,248,1735.6718,25,25,45,3.750000,2.292507,0.687752,0.625000,610.671830
S3_profit_targetPenalty,249,1596.9875,23,23,47,3.450000,2.263043,0.678913,0.575000,421.987505
S3_profit_targetPenalty,250,1874.9624,27,27,43,4.050000,2.227796,0.668339,0.675000,799.962378
S3_profit_targetPenalty,251,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,252,1597.4425,23,23,47,3.450000,2.183919,0.655176,0.575000,422.442463
S3_profit_targetPenalty,253,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,254,1666.9081,24,24,46,3.600000,2.181991,0.654597,0.600000,516.908053
S3_profit_targetPenalty,255,1874.9624,27,27,43,4.050000,2.227796,0.668339,0.675000,799.962378
S3_profit_targetPenalty,256,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,257,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,258,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,259,1597.6318,23,23,47,3.450000,2.150995,0.645299,0.575000,422.631777
S3_profit_targetPenalty,260,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,261,1875.0591,27,27,43,4.050000,2.213461,0.664038,0.675000,800.059141
S3_profit_targetPenalty,262,1458.0698,21,21,49,3.150000,2.272425,0.681727,0.525000,233.069770
S3_profit_targetPenalty,263,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,264,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,265,2154.3007,31,31,39,4.650000,2.025711,0.607713,0.775000,1179.300744
S3_profit_targetPenalty,266,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,267,1665.3373,24,24,46,3.600000,2.443777,0.733133,0.600000,515.337338
S3_profit_targetPenalty,268,1596.9954,23,23,47,3.450000,2.261667,0.678500,0.575000,421.995416
S3_profit_targetPenalty,269,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,270,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,271,1665.3373,24,24,46,3.600000,2.443777,0.733133,0.600000,515.337338
S3_profit_targetPenalty,272,1736.3972,25,25,45,3.750000,2.176450,0.652935,0.625000,611.397188
S3_profit_targetPenalty,273,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,274,1874.9624,27,27,43,4.050000,2.227796,0.668339,0.675000,799.962378
S3_profit_targetPenalty,275,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,276,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,277,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,278,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,279,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,280,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,281,1527.0077,22,22,48,3.300000,2.362232,0.708670,0.550000,327.007724
S3_profit_targetPenalty,282,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
S3_profit_targetPenalty,283,2223.5213,32,32,38,4.800000,2.059836,0.617951,0.800000,1273.521309
